"name"	"ID"	"Ac_vs_LB_p.val"	"Glc_vs_Ac_p.val"	"Glc_vs_LB_p.val"	"Ac_vs_LB_p.adj"	"Glc_vs_Ac_p.adj"	"Glc_vs_LB_p.adj"	"imputed"	"Ac_vs_LB_significant"	"Glc_vs_Ac_significant"	"Glc_vs_LB_significant"	"significant"	"Ac_vs_LB_log2fc"	"Glc_vs_Ac_log2fc"	"Glc_vs_LB_log2fc"	"Ac_centered"	"Glc_centered"	"LB_centered"
"rplD"	"PP_0455"	0.231216981262511	0.953080766806717	0.212131091440182	0.897	0.939	0.843	FALSE	FALSE	FALSE	FALSE	FALSE	0.251	0.0118	0.263	0.0799	0.0916	-0.172
"rplE"	"PP_0466"	0.84666043245761	0.457873841955059	0.356206332897541	0.925	0.921	0.868	FALSE	FALSE	FALSE	FALSE	FALSE	0.029	0.113	0.142	-0.0281	0.0853	-0.0572
"rplF"	"PP_0469"	0.593910785513259	0.39155363593024	0.734537232909199	0.918	0.917	0.898	FALSE	FALSE	FALSE	FALSE	FALSE	-0.0835	0.136	0.0528	-0.0732	0.063	0.0102
"rplI"	"PP_4874"	0.875958656969334	0.132724219860556	0.168494519881888	0.926	0.883	0.831	FALSE	FALSE	FALSE	FALSE	FALSE	-0.0236	0.246	0.222	-0.0898	0.156	-0.0662
"rplJ"	"PP_0445"	0.525901151910436	0.388844715956046	0.154869796943152	0.915	0.917	0.826	FALSE	FALSE	FALSE	FALSE	FALSE	0.0969	0.133	0.23	-0.0121	0.121	-0.109
"rplK"	"PP_0443"	0.83052324968424	0.0856426450248556	0.0610285708005716	0.925	0.865	0.76	FALSE	FALSE	FALSE	FALSE	FALSE	0.0322	0.287	0.319	-0.0848	0.202	-0.117
"rplL"	"PP_0446"	0.68419977123502	0.207099219521671	0.1110740816845	0.921	0.898	0.805	FALSE	FALSE	FALSE	FALSE	FALSE	0.062	0.202	0.264	-0.0467	0.155	-0.109
"rplM"	"PP_1315"	0.901615232342873	0.125737055301701	0.103724944272743	0.927	0.881	0.8	FALSE	FALSE	FALSE	FALSE	FALSE	0.0198	0.266	0.286	-0.0821	0.184	-0.102
"rplN"	"PP_0464"	0.725887715921789	0.500843568197628	0.31708300354906	0.922	0.924	0.863	FALSE	FALSE	FALSE	FALSE	FALSE	0.067	0.13	0.197	-0.021	0.109	-0.088
"rplO"	"PP_0473"	0.670139540154992	0.640557742481176	0.381300989604796	0.92	0.93	0.872	FALSE	FALSE	FALSE	FALSE	FALSE	0.0778	0.0854	0.163	-0.00253	0.0829	-0.0804
"rplP"	"PP_0461"	0.873750215647419	0.597126168369513	0.495454482695976	0.926	0.928	0.883	FALSE	FALSE	FALSE	FALSE	FALSE	0.026	0.0872	0.113	-0.0204	0.0668	-0.0464
"rplQ"	"PP_0480"	0.572922440965072	0.123662607360009	0.288528302292924	0.917	0.88	0.859	FALSE	FALSE	FALSE	FALSE	FALSE	-0.0867	0.255	0.168	-0.114	0.141	-0.0271
"rplR"	"PP_0470"	0.60702531236611	0.474509313056462	0.235179705869189	0.918	0.922	0.849	FALSE	FALSE	FALSE	FALSE	FALSE	0.0789	0.111	0.19	-0.0106	0.1	-0.0895
"rplS"	"PP_1465"	0.769691238551448	0.349392496567854	0.508649784908937	0.923	0.914	0.884	FALSE	FALSE	FALSE	FALSE	FALSE	-0.0499	0.164	0.114	-0.0713	0.0927	-0.0214
"rplT"	"PP_2468"	0.623177768312942	0.760316142642585	0.849952749133271	0.919	0.934	0.904	FALSE	FALSE	FALSE	FALSE	FALSE	0.112	-0.0692	0.0429	0.0604	-0.0088	-0.0516
"rplU"	NA	0.0478589581992425	0.879990572313561	0.0608065536050269	0.85	0.937	0.759	FALSE	FALSE	FALSE	FALSE	FALSE	0.438	-0.0291	0.409	0.156	0.127	-0.282
"rplV"	"PP_0459"	0.527589783323081	0.0506572711894078	0.138530219864879	0.915	0.838	0.819	FALSE	FALSE	FALSE	FALSE	FALSE	-0.0928	0.325	0.232	-0.139	0.185	-0.0463
"rplW"	"PP_0456"	0.588989076684239	0.193616669342817	0.415379825729111	0.918	0.896	0.875	FALSE	FALSE	FALSE	FALSE	FALSE	-0.0756	0.191	0.115	-0.0889	0.102	-0.0133
"rplX"	"PP_0465"	0.773831592323412	0.0673654483142544	0.106045777701331	0.924	0.853	0.802	FALSE	FALSE	FALSE	FALSE	FALSE	-0.0448	0.32	0.276	-0.122	0.199	-0.0769
"rpmA"	"PP_0689"	0.487037919691322	0.73699874722697	0.313609584793926	0.914	0.933	0.863	FALSE	FALSE	FALSE	FALSE	FALSE	0.153	0.0731	0.226	0.0267	0.0999	-0.127
"rpmB"	"PP_5282"	0.502417175075976	0.278055578128028	0.0998151161126019	0.914	0.908	0.797	FALSE	FALSE	FALSE	FALSE	FALSE	0.102	0.17	0.272	-0.0225	0.147	-0.125
"rpmC"	"PP_0462"	0.589247167032262	0.0731801302397673	0.17074131067693	0.918	0.857	0.831	FALSE	FALSE	FALSE	FALSE	FALSE	-0.0962	0.354	0.258	-0.15	0.204	-0.0539
"rpmD"	"PP_0472"	0.398180226934797	0.809562602259461	0.287023768237606	0.909	0.935	0.858	FALSE	FALSE	FALSE	FALSE	FALSE	0.212	0.0591	0.271	0.0509	0.11	-0.161
"rpmE"	NA	0.045340147623386	0.580082122442409	0.109584609629675	0.847	0.927	0.804	FALSE	FALSE	FALSE	FALSE	FALSE	-0.295	0.0715	-0.224	-0.122	-0.0508	0.173
"rpmF"	"PP_1911"	0.922911897154688	0.53516378176675	0.476086485443805	0.927	0.925	0.881	FALSE	FALSE	FALSE	FALSE	FALSE	0.0193	0.125	0.144	-0.0353	0.0898	-0.0545
"rpmG"	"PP_5281"	0.426595775146052	0.118688071991873	0.387098149287835	0.911	0.878	0.872	FALSE	FALSE	FALSE	FALSE	FALSE	-0.158	0.33	0.172	-0.163	0.168	-0.00486
"rpmH"	"PP_0009"	0.880129004265104	0.713932240466095	0.828205281150844	0.926	0.932	0.903	FALSE	FALSE	FALSE	FALSE	FALSE	-0.0406	0.099	0.0584	-0.0465	0.0525	-0.00595
"rpmI"	NA	0.681565135716322	0.711445162374449	0.442179817404552	0.921	0.932	0.878	FALSE	FALSE	FALSE	FALSE	FALSE	0.0816	0.0735	0.155	0.00271	0.0762	-0.0789
"rpmJ"	"PP_0475"	0.153038114190839	0.145371958427022	0.0131972430478323	0.886	0.886	0.585	FALSE	FALSE	FALSE	FALSE	FALSE	0.499	0.51	1.01	-0.00364	0.506	-0.502
"rpoA"	"PP_0479"	0.893413660919548	0.295205391432292	0.244007828591053	0.927	0.909	0.85	FALSE	FALSE	FALSE	FALSE	FALSE	0.0247	0.201	0.225	-0.0586	0.142	-0.0833
"rpoB"	"PP_0447"	0.00498501811200673	0.00201175569670881	0.51269809489365	0.716	0.455	0.884	FALSE	FALSE	FALSE	FALSE	FALSE	-0.834	0.981	0.147	-0.605	0.376	0.229
"rpoC"	"PP_0448"	0.00150511661103401	0.000344298117325814	0.236616998734756	0.584	0.136	0.849	FALSE	FALSE	FALSE	FALSE	FALSE	-0.846	1.07	0.226	-0.639	0.433	0.207
"rpoD"	"PP_0387"	0.751690132211959	0.119046391953711	0.072328328141314	0.923	0.879	0.773	FALSE	FALSE	FALSE	FALSE	FALSE	0.0375	0.2	0.238	-0.0543	0.146	-0.0918
"rpoH"	"PP_5108"	0.355035237999153	0.44904822887644	0.114224114998943	0.907	0.921	0.807	FALSE	FALSE	FALSE	FALSE	FALSE	-0.394	-0.32	-0.714	-0.0249	-0.344	0.369
"rpoN"	"PP_0952"	0.651045959654012	0.0880189734223356	0.0428142606858473	0.92	0.866	0.728	FALSE	FALSE	FALSE	FALSE	FALSE	0.0575	0.239	0.296	-0.0604	0.178	-0.118
"rpoS"	"PP_1623"	0.000593874504694635	0.241682170255461	0.00277979193204577	0.443	0.903	0.317	FALSE	FALSE	FALSE	FALSE	FALSE	0.725	-0.164	0.561	0.296	0.132	-0.429
"rpoX"	"PP_0951"	0.587098975364555	0.864454868217966	0.479474657525068	0.918	0.937	0.881	FALSE	FALSE	FALSE	FALSE	FALSE	-0.0633	-0.0197	-0.083	-0.0145	-0.0342	0.0488
"rpoZ"	"PP_5301"	0.819029034555473	0.930023238092829	0.752034250918766	0.925	0.939	0.899	FALSE	FALSE	FALSE	FALSE	FALSE	0.0359	0.0138	0.0497	0.00738	0.0211	-0.0285
